SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene918	0.177716295505786	NA	1.386	0.727	2.644	0.329	0.155584	3.13409415121255	0.0766709681276947	3.754	2.874	4.905	0.136	0.162394	3.22750466366729	0.0724109459235893	0.0319741008663915	10	9	30	17	ER.A	-1	24	0.008163	6	0.001961	17	4.163	0.0355825100704286	2.097	1.051	4.182	0.74	0.352	NA	0.718583443641701	10	9	31	8	ER.A	-1	17	0.008763	14	0.006796	8	1.289	0.668716584690244	1.066	0.797	1.426	0.064	0.148	NA	1	1376000	1377000	non_coding	-	info918	info918
Gene735	0.17804058090441	NA	1.469	0.827	2.609	0.293	0	0.533264408824488	0.465237658371092	9.321	5.248	16.557	0.293	1.0364395	4.34334244083084	0.0371539165972132	0.205288254762918	10	8	12	7	ER	0.00289166231068354	10	0.003401	2	0.000654	7	5.2	0.229647701962177	2.373	0.579	9.714	0.864	0.719	NA	0.597107207938398	10	10	26	17	ER.A	-1	17	0.008763	9	0.004369	17	2.006	0.368151848806513	1.335	0.712	2.505	0.289	0.321	NA	1	1101500	1102500	protein_coding	+	info735	info735
Gene297	0.179475970269152	NA	1.4	0.736	2.66	0.328	0.0762755	1.31193334014927	0.252044911750603	3.708	2.365	5.813	0.229	43.223963	177.767050403844	0	0.26786449899223	10	10	37	24	ER.A	-1	21	0.007143	16	0.005229	24	1.366	0.498305284924366	1.18	0.73	1.907	0.166	0.245	NA	0.130420067903408	10	4	11	7	ER	0.00240756467737765	9	0.004639	2	0.000971	7	4.778	0.139494439665206	2.631	0.729	9.49	0.967	0.655	NA	1	444500	445500	protein_coding	+	info297	info297
Gene887	0.179642634630102	NA	1.271	0.924	1.749	0.163	0	0.532284614272038	0.46564794079993	2.352	1.709	3.237	0.163	3.940348	55.277382518441	1.04694031222152e-13	0.412654763144421	10	10	32	9	ER.A	-1	21	0.007143	11	0.003595	9	1.987	0.354850614464224	1.189	0.824	1.714	0.173	0.187	NA	0.15449297275305	10	10	23	13	ER.A	-1	16	0.008247	7	0.003398	13	2.427	0.174387017469358	1.569	0.819	3.006	0.451	0.332	NA	1	1329500	1330500	protein_coding	+	info887	info887
Gene688	0.180257925381494	NA	0.97	0.56	1.68	0.28	0	0.447163035950204	0.50368527129031	2.099	1.211	3.636	0.28	1.4248635	9.29272033104219	0.00230066260746276	0.0577764589554203	10	6	21	14	ER.A	-1	11	0.003741	10	0.003268	14	1.145	0.756450369925614	1.114	0.562	2.21	0.108	0.349	NA	0.763943235949633	10	7	15	12	ER	6.24079040971892e-05	6	0.003093	9	0.004369	12	0.708	0.546533280482022	0.753	0.299	1.895	-0.284	0.471	NA	1	1031000	1032000	non_coding	-	info688	info688
Gene1284	0.182008331548359	NA	1.142	0.699	1.865	0.25	0	0.931654914481504	0.33443326550144	2.265	1.387	3.699	0.25	1.1526015	9.03494982519859	0.00264866324147028	0.104216303681109	10	8	34	26	ER.A	-1	20	0.006803	14	0.004575	26	1.487	0.325418092216241	1.349	0.743	2.448	0.299	0.304	NA	0.809055288547388	10	8	20	18	ER	7.12787056097826e-07	9	0.004639	11	0.00534	18	0.869	0.621015345975221	0.804	0.339	1.909	-0.218	0.441	NA	1	1925000	1926000	non_coding	-	info1284	info1284
Gene829	0.183082329926812	NA	1.451	0.883	2.383	0.253	0	0.301042948423347	0.58322932340081	3.845	2.341	6.316	0.253	2.329294	18.2660519176315	1.92100282856433e-05	0.20149368904153	10	10	25	13	ER.A	-1	19	0.006463	6	0.001961	13	3.296	0.136286487116021	1.62	0.859	3.058	0.483	0.324	NA	0.503466181036346	10	7	18	13	ER	1.97779531746683e-05	10	0.005155	8	0.003883	13	1.328	0.62574883328113	1.219	0.55	2.703	0.198	0.406	NA	1	1242500	1243500	protein_coding	+	info829	info829
Gene1070	0.183436876589853	NA	0.808	0.593	1.1	0.158	0	0.378289275304051	0.538520212158971	1.629	1.196	2.218	0.158	0.7453155	15.9827218815961	6.39232285957192e-05	0.425793203856455	10	9	29	16	ER.A	-1	12	0.004082	17	0.005556	16	0.735	0.583224421208073	0.887	0.578	1.361	-0.12	0.219	NA	0.155723425623045	10	10	32	13	ER.A	-1	8	0.004124	24	0.01165	13	0.354	0.16716871302836	0.73	0.468	1.141	-0.314	0.227	NA	1	1604000	1605000	non_coding	-	info1070	info1070
Gene201	0.183937581591744	NA	1.073	0.662	1.741	0.247	0.0424675	1.48488567921674	0.223011674209576	2.292	1.567	3.352	0.194	4.524102	52.6553192704022	3.97570865118269e-13	0.508006307762627	10	10	44	25	MA	-1	20	0.006803	24	0.007843	25	0.867	0.608830995501359	0.887	0.56	1.404	-0.12	0.234	NA	0.00869022837868159	10	10	24	16	ER.A	-1	16	0.008247	8	0.003883	16	2.124	0.261254271036353	1.477	0.748	2.917	0.39	0.347	NA	1	300500	301500	protein_coding	+	info201	info201
Gene245	0.184206171114388	NA	0.786	0.488	1.266	0.243	0	0.382952450015539	0.536027355307171	2.037	1.265	3.281	0.243	0.81095	7.72081218274112	0.00545878334566863	0.838989038361465	10	8	26	23	ER.A	-1	12	0.004082	14	0.004575	23	0.892	0.856243040834755	0.935	0.452	1.935	-0.067	0.371	NA	0.0879754120521829	10	9	22	11	ER.A	-1	6	0.003093	16	0.007767	11	0.398	0.249872795314628	0.69	0.367	1.298	-0.371	0.322	NA	1	366500	367500	protein_coding	+	info245	info245
Gene202	0.18437082410328	NA	1.334	0.898	1.983	0.202	0.000890499999999998	1.00883344906259	0.315182470777206	3.313	2.235	4.91	0.201	6.915448	69.5988294812023	1.11022302462516e-16	0.687892934379531	10	10	38	23	ER.A	-1	21	0.007143	17	0.005556	23	1.286	0.490933930862925	1.177	0.741	1.869	0.163	0.236	NA	0.15608263560813	10	9	23	14	ER.A	-1	17	0.008763	6	0.002913	14	3.008	0.107949552650419	1.848	0.874	3.909	0.614	0.382	NA	1	302000	303000	non_coding	-	info202	info202
Gene135	0.185194845917823	NA	0.726	0.465	1.133	0.227	0	0.387279403803818	0.533732940378398	1.391	0.891	2.171	0.227	0.966676	9.7216788768992	0.00182107089715167	0.593000119906399	10	10	23	14	ER.A	-1	9	0.003061	14	0.004575	14	0.669	0.459310136259517	0.809	0.462	1.418	-0.212	0.286	NA	0.0611441858647755	10	8	21	13	ER.A	-1	6	0.003093	15	0.007282	13	0.425	0.176588189401999	0.603	0.29	1.256	-0.505	0.374	NA	1	201500	202500	protein_coding	+	info135	info135
Gene1008	0.186413905772613	NA	0.857	0.514	1.43	0.261	0.0327835	1.29146847799995	0.255777505158574	1.61	1.036	2.502	0.225	0.6725275	6.97924464557198	0.00824604056343992	0.0911446877872757	10	10	44	36	MA	-1	22	0.007483	22	0.00719	36	1.041	0.859310395496786	1.05	0.61	1.809	0.049	0.277	NA	0.293766347923573	10	9	19	10	ER	0.000238552264173453	5	0.002577	14	0.006796	10	0.379	0.202599144155999	0.612	0.288	1.302	-0.49	0.385	NA	1	1511000	1512000	non_coding	-	info1008	info1008
Gene1144	0.186483621845286	NA	0.916	0.672	1.249	0.158	0	0.534201037593756	0.464845991249421	1.506	1.105	2.053	0.158	2.3918155	37.3890444096213	9.67641633486949e-10	0.346844006406121	10	9	40	19	ER.A	-1	15	0.005102	25	0.00817	19	0.624	0.398382341360754	0.857	0.599	1.226	-0.155	0.183	NA	0.0464085221577699	10	9	26	18	ER.A	-1	14	0.007216	12	0.005825	18	1.239	0.725053062696447	1.116	0.604	2.062	0.11	0.313	NA	1	1715000	1716000	non_coding	-	info1144	info1144
Gene949	0.188647436555143	NA	0.721	0.473	1.098	0.215	0	0.0142688679245283	0.90491697557119	1.291	0.848	1.966	0.215	1.4657645	14.8279669811321	0.000117775925329577	0.318758279418149	10	7	27	11	ER.A	-1	8	0.002721	19	0.006209	11	0.438	0.233283726861715	0.733	0.44	1.221	-0.31	0.26	NA	0.465327220752497	10	8	21	14	ER.A	-1	7	0.003608	14	0.006796	14	0.531	0.337335527269437	0.694	0.33	1.463	-0.365	0.38	NA	1	1422500	1423500	protein_coding	+	info949	info949
Gene1169	0.188842759710957	NA	0.705	0.446	1.117	0.234	0	0.0434243225990356	0.834928340594567	1.309	0.827	2.073	0.234	1.4596615	12.7205643234823	0.00036165662141785	0.328534850770834	10	10	30	20	ER.A	-1	10	0.003401	20	0.006536	20	0.52	0.271379886307079	0.73	0.417	1.279	-0.315	0.286	NA	0.403172061986203	10	8	19	15	ER	8.07802436630949e-06	7	0.003608	12	0.005825	15	0.619	0.304843981375926	0.657	0.295	1.465	-0.419	0.409	NA	1	1752500	1753500	protein_coding	+	info1169	info1169
Gene622	0.191137075346424	NA	1.264	0.793	2.016	0.238	0.00625399999999998	1.05244598373956	0.304944426674982	5.51	3.506	8.66	0.231	3.555514	30.8165061448344	2.83615180229901e-08	0.0685603094217633	10	7	26	25	ER.A	-1	12	0.004082	14	0.004575	25	0.892	0.814126644706489	0.911	0.417	1.987	-0.094	0.398	NA	0.167557067727568	10	9	27	15	ER.A	-1	19	0.009794	8	0.003883	15	2.522	0.151043492793582	1.502	0.862	2.617	0.407	0.283	NA	1	932000	933000	non_coding	-	info622	info622
Gene66	0.193468550612009	NA	0.912	0.642	1.295	0.179	0	0.0465401406642201	0.829196936436876	1.334	0.939	1.894	0.179	3.054487	26.3037121105432	2.9172741800032e-07	0.212349883380378	10	10	40	17	ER.A	-1	17	0.005782	23	0.007516	17	0.769	0.575601779975652	0.897	0.612	1.314	-0.109	0.195	NA	0.197415880287263	10	4	14	10	ER	0.000322537904259678	7	0.003608	7	0.003398	10	1.062	0.9943920338346	0.997	0.412	2.411	-0.003	0.451	NA	1	98000	99000	non_coding	-	info66	info66
Gene436	0.19349004053848	NA	1.429	0.893	2.287	0.24	0	0.00720580922823682	0.932351196731301	5.295	3.308	8.475	0.24	2.7609585	24.6703631624972	6.80222022153565e-07	0.505137064454503	10	8	18	10	ER	0.000405603956617024	12	0.004082	6	0.001961	10	2.082	0.354001430373008	1.396	0.689	2.829	0.334	0.36	NA	0.316733264775693	10	10	24	16	ER.A	-1	15	0.007732	9	0.004369	16	1.77	0.244279493841871	1.454	0.774	2.733	0.375	0.322	NA	1	653000	654000	non_coding	-	info436	info436
Gene30	0.193593547135695	NA	1.317	0.907	1.912	0.19	0	0.277815886952943	0.598136348092269	2.771	1.909	4.022	0.19	4.2601375	47.7568939497874	4.82480722041601e-12	0.409256980421664	10	9	23	5	ER.A	-1	17	0.005782	6	0.001961	5	2.948	0.336110405733914	1.239	0.8	1.918	0.214	0.223	NA	0.365196639387568	10	10	22	14	ER.A	-1	15	0.007732	7	0.003398	14	2.275	0.226844635759779	1.552	0.761	3.164	0.439	0.364	NA	1	44000	45000	non_coding	-	info30	info30
Gene456	0.195585325058493	NA	0.791	0.466	1.343	0.27	0	0.983877391134034	0.321243411895365	2.236	1.317	3.797	0.27	0.5161545	4.36981458510152	0.0365809721207918	0.632591975477986	10	7	17	15	ER	8.29969000430976e-06	9	0.003061	8	0.002614	15	1.171	0.816484632105163	1.105	0.474	2.576	0.1	0.432	NA	0.191520335746796	10	9	21	11	ER.A	-1	5	0.002577	16	0.007767	11	0.332	0.193901487333256	0.638	0.324	1.257	-0.449	0.346	NA	1	683000	684000	non_coding	-	info456	info456
Gene785	0.196211243813547	NA	1.052	0.405	2.733	0.487	0.383285	5.03640595216782	0.0248199327740762	2.188	1.484	3.225	0.198	8.1509035	86.8378371262782	0	0.106940287255869	10	10	44	24	MA	-1	12	0.004082	32	0.010458	24	0.39	0.0909353447190399	0.672	0.424	1.065	-0.398	0.235	NA	0.0396098161383358	10	8	21	11	ER.A	-1	16	0.008247	5	0.002427	11	3.398	0.113819946660491	1.786	0.87	3.663	0.58	0.367	NA	1	1176500	1177500	protein_coding	+	info785	info785
Gene989	0.197192727724432	NA	0.692	0.425	1.127	0.249	0	0.0480483876628618	0.826494703833003	1.455	0.893	2.369	0.249	1.342398	11.4699390474556	0.000707310003835504	0.438848757220215	10	10	21	12	ER.A	-1	7	0.002381	14	0.004575	12	0.52	0.317430037623159	0.724	0.384	1.364	-0.323	0.323	NA	0.311667218134028	10	8	20	11	ER	4.01982198225684e-05	5	0.002577	15	0.007282	11	0.354	0.265816301069111	0.648	0.301	1.392	-0.434	0.39	NA	1	1482500	1483500	protein_coding	+	info989	info989
Gene234	0.198523016278818	NA	2.087	0.294	14.832	1.001	1.520149	3.54404191902372	0.0597596696970022	6.035	3.307	11.012	0.307	0	0.0431181206728331	0.835503016355056	0.00878483231346466	10	7	16	10	ER	0.000298659006255376	15	0.005102	1	0.000327	10	15.602	0.0549198894607619	7.426	0.959	57.522	2.005	1.045	NA	0.991115397395197	10	9	23	16	ER.A	-1	11	0.00567	12	0.005825	16	0.973	0.868013335058807	0.948	0.505	1.778	-0.053	0.321	NA	1	350000	351000	non_coding	-	info234	info234
Gene1258	0.19926066827745	NA	0.712	0.412	1.23	0.279	0.0519279999999999	1.46031380196791	0.22688019818119	1.318	0.85	2.044	0.224	0.592862	6.25540288981473	0.0123815085507709	0.816097652482011	10	10	27	16	ER.A	-1	11	0.003741	16	0.005229	16	0.715	0.665022228098272	0.888	0.519	1.519	-0.119	0.274	NA	0.100985017290292	10	10	28	20	ER.A	-1	7	0.003608	21	0.010194	20	0.354	0.0738831468759707	0.5	0.234	1.069	-0.693	0.388	NA	1	1886000	1887000	non_coding	-	info1258	info1258
Gene557	0.20043425902915	NA	1.501	0.894	2.522	0.265	0	0.000985842210477308	0.974952036995323	4.252	2.531	7.142	0.265	5.497286	34.4534356905307	4.36571490070037e-09	0.292640784982191	10	9	38	33	ER.A	-1	23	0.007823	15	0.004902	33	1.596	0.195621808244942	1.51	0.809	2.818	0.412	0.318	NA	0.643484358411206	10	7	15	13	ER	2.02573170291558e-05	9	0.004639	6	0.002913	13	1.593	0.408389450622122	1.483	0.582	3.777	0.394	0.477	NA	1	834500	835500	protein_coding	+	info557	info557
Gene757	0.201362542565169	NA	0.893	0.216	3.694	0.725	0.788324	3.9176815445513	0.0477807315735728	4.796	2.442	9.417	0.344	25.7507095	96.3064601195092	0	0.112757046059165	10	8	25	21	ER.A	-1	7	0.002381	18	0.005882	21	0.405	0.0639068810224911	0.46	0.203	1.046	-0.776	0.419	NA	0.254697288200579	10	8	10	5	ER	0.00697583905882531	8	0.004124	2	0.000971	5	4.247	0.26071381025247	1.972	0.604	6.438	0.679	0.604	NA	1	1134500	1135500	protein_coding	+	info757	info757
Gene1214	0.202565156363076	NA	1.002	0.517	1.942	0.337	0.1241275	2.19715966629696	0.138265299150203	3.186	2.039	4.978	0.228	4.3097355	42.5656604137532	6.83488821096034e-11	0.363004967836019	10	9	25	16	ER.A	-1	8	0.002721	17	0.005556	16	0.49	0.298656323086547	0.715	0.379	1.347	-0.336	0.323	NA	0.243949127249176	10	9	18	6	ER	0.00263529250641109	14	0.007216	4	0.001942	6	3.716	0.291804025149375	1.403	0.747	2.635	0.339	0.321	NA	1	1820000	1821000	non_coding	-	info1214	info1214
Gene958	0.202627812634189	NA	0.965	0.622	1.497	0.224	0.00571200000000001	1.05786501202988	0.303702631727485	2.966	1.937	4.542	0.217	2.5832155	27.1690819298468	1.86416128755695e-07	0.61668476157887	10	10	34	30	ER.A	-1	13	0.004422	21	0.006863	30	0.644	0.369778696991826	0.734	0.373	1.443	-0.309	0.345	NA	0.0292860870061651	10	10	26	17	ER.A	-1	14	0.007216	12	0.005825	17	1.239	0.596819776485904	1.16	0.67	2.007	0.148	0.28	NA	1	1436000	1437000	non_coding	-	info958	info958
Gene7	0.202738751931264	NA	1.216	0.854	1.733	0.181	0	0.854845672350529	0.355185125016327	2.203	1.547	3.139	0.181	0.99752	14.4567235052882	0.000143416978593325	0.140884867345	10	10	37	15	ER.A	-1	28	0.009524	9	0.002941	15	3.238	0.155564192295711	1.366	0.888	2.101	0.312	0.22	NA	0.605884682048962	10	10	28	19	ER.A	-1	13	0.006701	15	0.007282	19	0.92	0.889160205828162	0.957	0.516	1.776	-0.044	0.316	NA	1	9500	10500	protein_coding	+	info7	info7
Gene1206	0.20280463119254	NA	1.359	0.738	2.503	0.312	0	0.185758148323099	0.666470775942819	5.533	3.004	10.188	0.312	10.2085765	47.3672127647978	5.88584736505027e-12	0.125358074770767	10	9	27	25	ER.A	-1	15	0.005102	12	0.003922	25	1.301	0.574698438499389	1.238	0.588	2.606	0.213	0.38	NA	0.382959592554427	10	3	11	7	ER	0.0024631779288992	8	0.004124	3	0.001456	7	2.832	0.358936114532812	1.647	0.567	4.78	0.499	0.544	NA	1	1808000	1809000	non_coding	-	info1206	info1206
Gene450	0.202848417353398	NA	0.544	0.129	2.299	0.735	0.779014	3.24185400008346	0.0717793688612768	3.882	2.092	7.205	0.316	5.662558	17.2957640080982	3.19899182482652e-05	0.0226265205482512	10	6	17	13	ER	2.11277906623752e-05	2	0.00068	15	0.004902	13	0.139	0.0463212731600001	0.221	0.05	0.976	-1.51	0.758	NA	0.763894040095027	10	10	16	8	ER	0.00118325149731453	8	0.004124	8	0.003883	8	1.062	0.979591716964518	0.991	0.502	1.957	-0.009	0.347	NA	1	674000	675000	non_coding	-	info450	info450
Gene494	0.203035858908505	NA	1.163	0.454	2.975	0.479	0.319214	3.25455906657438	0.0712250910529661	3.054	1.826	5.109	0.262	0.1728385	2.22073156950546	0.136168522886798	0.0533817735240359	10	6	22	17	ER.A	-1	15	0.005102	7	0.002288	17	2.23	0.106377209842961	1.925	0.869	4.265	0.655	0.406	NA	0.598146307179573	10	9	25	18	ER.A	-1	10	0.005155	15	0.007282	18	0.708	0.376454463454599	0.737	0.375	1.448	-0.305	0.344	NA	1	740000	741000	non_coding	-	info494	info494
Gene649	0.205437988570617	NA	1.255	0.612	2.571	0.366	0	0.000264785234521335	0.987017217610105	13.105	6.396	26.853	0.366	0	0.000186144486624101	0.989114417419728	0.184239529480875	10	6	9	3	ER	0.061096056831588	9	0.003061	0	0	3	Inf	0.986814357622758	2543172.221	0	Inf	14.749	892.441	NA	0.693145850498414	10	7	14	6	ER	0.00618875302308322	9	0.004639	5	0.002427	6	1.911	0.535264232039473	1.255	0.612	2.573	0.227	0.366	NA	1	972500	973500	protein_coding	+	info649	info649
Gene160	0.206563703027432	NA	1.161	0.663	2.034	0.286	0	0.241222419725706	0.623324609645449	6.209	3.545	10.875	0.286	2.805166	12.436400254399	0.000421046524516355	0.66546628245491	10	5	11	11	ER	0.000130206124431124	5	0.001701	6	0.001961	11	0.867	0.843804505003635	0.885	0.262	2.991	-0.122	0.622	NA	0.155626271419793	10	10	29	22	ER.A	-1	16	0.008247	13	0.006311	22	1.307	0.491504418907388	1.248	0.664	2.348	0.222	0.322	NA	1	239000	240000	non_coding	-	info160	info160
Gene1032	0.206938191901551	NA	0.671	0.399	1.129	0.265	0	0.0111482403128333	0.915911445799684	1.689	1.005	2.84	0.265	1.5761545	12.2062175613224	0.000476305061246851	0.351276102683955	10	10	29	27	ER.A	-1	11	0.003741	18	0.005882	27	0.636	0.260851208298199	0.653	0.31	1.373	-0.427	0.38	NA	0.544597355960295	10	10	22	16	ER.A	-1	8	0.004124	14	0.006796	16	0.607	0.316162699411709	0.69	0.334	1.426	-0.371	0.37	NA	1	1547000	1548000	non_coding	-	info1032	info1032
Gene879	0.207356329500487	NA	1.374	0.865	2.182	0.236	0	0.178947816645021	0.672279033824495	3.429	2.159	5.448	0.236	2.195978	19.7015095062701	9.05298267805943e-06	0.283783636926959	10	10	36	28	ER.A	-1	22	0.007483	14	0.004575	28	1.636	0.188702507355658	1.487	0.823	2.687	0.397	0.302	NA	0.0137007487947069	10	7	17	11	ER	0.000225003149588306	10	0.005155	7	0.003398	11	1.517	0.611970323050798	1.212	0.577	2.548	0.192	0.379	NA	1	1317500	1318500	protein_coding	+	info879	info879
Gene407	0.209395381712791	NA	1.319	0.631	2.758	0.376	0.171862	2.51887972213998	0.112490475022897	4.843	3.07	7.64	0.233	8.5729615	76.7660063366932	0	0.919365134036732	10	9	34	26	ER.A	-1	16	0.005442	18	0.005882	26	0.925	0.817199964464124	0.933	0.519	1.678	-0.069	0.299	NA	0.0339695324704753	10	10	24	11	ER.A	-1	20	0.010309	4	0.001942	11	5.308	0.0633841362901418	1.986	0.962	4.099	0.686	0.37	NA	1	609500	610500	protein_coding	+	info407	info407
Gene861	0.20963155438108	NA	0.685	0.413	1.136	0.258	0	0.290950333851642	0.589612176710502	1.466	0.884	2.431	0.258	1.0307295	8.54215311442422	0.0034701490913075	0.494737567340106	10	6	23	15	ER.A	-1	9	0.003061	14	0.004575	15	0.669	0.443197600571267	0.771	0.396	1.499	-0.26	0.339	NA	0.241418422935386	10	8	19	12	ER	6.11346438367554e-05	6	0.003093	13	0.006311	12	0.49	0.172791739621134	0.582	0.267	1.268	-0.542	0.398	NA	1	1290500	1291500	protein_coding	+	info861	info861
Gene216	0.209887360096269	NA	1.341	0.91	1.978	0.198	0	0.0031004137192067	0.955595649973018	2.666	1.808	3.931	0.198	3.331407	34.0519678945959	5.3659612309076e-09	0.291673354357954	10	10	40	25	ER.A	-1	26	0.008844	14	0.004575	25	1.933	0.215083418470908	1.332	0.846	2.097	0.287	0.231	NA	0.444977274654201	10	9	19	13	ER	1.71013984147298e-05	11	0.00567	8	0.003883	13	1.46	0.418294933951977	1.366	0.642	2.907	0.312	0.385	NA	1	323000	324000	non_coding	-	info216	info216
Gene228	0.210452959563996	NA	0.815	0.419	1.582	0.339	0.1596095	3.27258747730751	0.0704464313857983	2.201	1.529	3.168	0.186	2.7953855	40.8018794717545	1.68471014916349e-10	0.057287442206849	10	10	40	23	ER.A	-1	10	0.003401	30	0.009804	23	0.347	0.0471158850915549	0.573	0.331	0.993	-0.557	0.281	NA	0.231760671132263	10	10	27	15	ER.A	-1	14	0.007216	13	0.006311	15	1.143	0.625075129067949	1.129	0.694	1.837	0.121	0.248	NA	1	341000	342000	non_coding	-	info228	info228
Gene329	0.210706547326322	NA	1.076	0.665	1.741	0.245	0.033372	1.22482946793997	0.268414945093047	1.538	1.056	2.238	0.191	1.12358	8.56963602984521	0.00341815480630325	0.162481092924385	10	10	40	21	ER.A	-1	25	0.008503	15	0.004902	21	1.735	0.332402967382292	1.222	0.815	1.832	0.2	0.207	NA	0.616861410083091	10	9	18	17	ER	7.25749241510356e-07	7	0.003608	11	0.00534	17	0.676	0.423898185818346	0.668	0.249	1.795	-0.403	0.504	NA	1	492500	493500	protein_coding	+	info329	info329
Gene917	0.211161205977782	NA	1.332	0.865	2.051	0.22	0	0.0624148324510524	0.802719122649053	3.447	2.238	5.307	0.22	2.05411	21.8111243382893	3.00850756751458e-06	0.0771841905572005	10	10	24	11	ER.A	-1	17	0.005782	7	0.002288	11	2.527	0.252755911604885	1.398	0.787	2.482	0.335	0.293	NA	0.600944310415351	10	7	14	5	ER	0.0115094443473225	10	0.005155	4	0.001942	5	2.654	0.502679132384027	1.251	0.65	2.41	0.224	0.334	NA	1	1374500	1375500	protein_coding	+	info917	info917
Gene610	0.211376047444609	NA	1.141	0.564	2.308	0.36	0.1119315	1.75268054374103	0.185540105254422	3.222	1.9	5.464	0.269	0.47961	4.22512532739786	0.0398296776772926	0.0423144163773446	10	9	23	20	ER.A	-1	15	0.005102	8	0.002614	20	1.952	0.206095212586574	1.689	0.75	3.803	0.524	0.414	NA	0.718775457571412	10	10	29	25	ER.A	-1	13	0.006701	16	0.007767	25	0.863	0.57655659309895	0.82	0.409	1.645	-0.198	0.355	NA	1	914000	915000	non_coding	-	info610	info610
Gene786	0.211905882012719	NA	0.952	0.625	1.45	0.215	0	0.479773293456026	0.48852502331242	3.294	2.163	5.018	0.215	0.5258395	4.55006717480978	0.0329174549462344	0.717660204343498	10	4	14	12	ER	9.35051347999445e-05	8	0.002721	6	0.001961	12	1.388	0.601860562497368	1.291	0.495	3.365	0.255	0.489	NA	0.119796563907282	10	9	27	10	ER.A	-1	10	0.005155	17	0.008252	10	0.625	0.611344721252146	0.885	0.554	1.416	-0.122	0.239	NA	1	1178000	1179000	non_coding	-	info786	info786
Gene835	0.212400026320988	NA	0.752	0.51	1.109	0.198	0	0.291460435999802	0.589286165058508	1.083	0.735	1.597	0.198	1.352736	11.2769233106812	0.000784765082509353	0.432757240849119	10	10	40	19	ER.A	-1	15	0.005102	25	0.00817	19	0.624	0.284573811123635	0.791	0.515	1.215	-0.234	0.219	NA	0.443862578410472	10	9	16	12	ER	5.4737352168697e-05	5	0.002577	11	0.00534	12	0.483	0.270428511668921	0.6	0.241	1.489	-0.511	0.464	NA	1	1251500	1252500	protein_coding	+	info835	info835
Gene1021	0.213849312824617	NA	1.317	0.897	1.935	0.196	0	0.000639329610915942	0.979827663831722	1.991	1.356	2.924	0.196	9.5289265	43.160033714129	5.04405406331898e-11	0.240135970607766	10	10	42	21	MA	-1	28	0.009524	14	0.004575	21	2.082	0.183711721507774	1.315	0.878	1.969	0.274	0.206	NA	0.752420912628003	10	4	11	11	ER	9.75332469256433e-05	6	0.003093	5	0.002427	11	1.274	0.650101074699921	1.337	0.381	4.691	0.291	0.64	NA	1	1530500	1531500	protein_coding	+	info1021	info1021
Gene966	0.214025703856863	NA	0.733	0.49	1.095	0.205	0	0.0798715080594275	0.777471614589642	1.843	1.233	2.756	0.205	1.3223555	16.1707164572936	5.78820305202621e-05	0.390119752395449	10	7	35	29	ER.A	-1	13	0.004422	22	0.00719	29	0.615	0.235761720440297	0.683	0.364	1.282	-0.381	0.321	NA	0.207512049990682	10	10	29	16	ER.A	-1	10	0.005155	19	0.009223	16	0.559	0.324731821658419	0.769	0.455	1.298	-0.263	0.267	NA	1	1448000	1449000	non_coding	-	info966	info966
Gene264	0.214434065714754	NA	1.45	0.725	2.901	0.354	0.162648	2.67208614973399	0.102122085042641	3.342	2.308	4.839	0.189	10.7139775	111.143951270914	0	0.857465285748513	10	8	39	20	ER.A	-1	21	0.007143	18	0.005882	20	1.214	0.709788812276432	1.084	0.709	1.658	0.081	0.217	NA	0.0693317446518107	10	9	29	23	ER.A	-1	20	0.010309	9	0.004369	23	2.36	0.0366132479294304	2.23	1.051	4.731	0.802	0.384	NA	1	395000	396000	non_coding	-	info264	info264
